Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf
.000,Terrain,28274,None,True,262.9717:0:450.5668:0:-0.9938502:0:0.1107332,255.3322:0:410.2542:0:0:0:1,253.3115:0:407.956:0:0:0:1,253.225:0.08844018:409.9268:0:0:0:1
2.150,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
2.200,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
2.250,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
2.299,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
2.349,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
2.399,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
2.448,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
2.498,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
2.548,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
2.598,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
2.647,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
2.697,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
2.747,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
2.796,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
2.846,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
2.896,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
2.945,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
2.995,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.045,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.095,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.144,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.194,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
3.244,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
3.293,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.343,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.393,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.442,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.492,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
3.542,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
3.592,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.641,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.691,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.741,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.790,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
3.840,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
3.890,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
3.939,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
3.989,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.039,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.089,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.138,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
4.188,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
4.238,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.287,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.337,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.387,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.436,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
4.486,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
4.536,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.586,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.635,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.685,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.735,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
4.784,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
4.834,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.884,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
4.933,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
4.983,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
5.033,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
5.083,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
5.132,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
5.182,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999744:407.9565:-0.0005651582:0.111238:6.325965E-05:0.9937937,253.2251:-0.02999771:409.9271:-0.0005904243:0.1174196:6.981032E-05:0.9930822
5.232,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
5.281,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999756:407.9565:-0.0005651596:0.111238:6.32598E-05:0.9937937,253.2251:-0.02999762:409.9271:-0.0005904233:0.1174196:6.981019E-05:0.9930822
5.331,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.03000116:410.2547:-0.0006029756:0.09350538:5.662958E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
5.381,Terrain,28274,None,True,262.9716:0.01969618:450.5667:0:0.9938502:0:-0.1107332,255.3323:-0.0300011:410.2547:-0.0006029749:0.09350538:5.662951E-05:0.9956186,253.3116:-0.02999738:407.9565:-0.0005651576:0.111238:6.325958E-05:0.9937937,253.2251:-0.02999765:409.9271:-0.0005904236:0.1174196:6.981024E-05:0.9930822
